Indicator name,Data provider,Category,Subcategory,Download   View   Visualize
"Population aged 15-19 years, male (%)",UN Population Division,Population,Male by age (%),  
Population aged 20-39 years (total number),UN Population Division,Population,Both sexes by age (total),  
"Population aged 20-39 years, both sexes (%)",UN Population Division,Population,Both sexes by age (%),  
"Population aged 20-39 years, female (%)",UN Population Division,Population,Female by age (%),  
"Population aged 20-39 years, male (%)",UN Population Division,Population,Male by age (%),  
Population aged 40-59 years (total number),UN Population Division,Population,Both sexes by age (total),  
"Population aged 40-59 years, both sexes (%)",UN Population Division,Population,Both sexes by age (%),  
"Population aged 40-59 years, female (%)",UN Population Division,Population,Female by age (%),  
"Population aged 40-59 years, male (%)",UN Population Division,Population,Male by age (%),  
Population aged 5-9 years (total number),UN Population Division,Population,Both sexes by age (total),  
"Population aged 5-9 years, both sexes (%)",UN Population Division,Population,Both sexes by age (%),  
"Population aged 5-9 years, female (%)",UN Population Division,Population,Female by age (%),  
"Population aged 5-9 years, male (%)",UN Population Division,Population,Male by age (%),  
Population aged 60+ years (total number),UN Population Division,Population,Both sexes by age (total),  
"Population aged 60+ years, both sexes (%)",UN Population Division,Population,Both sexes by age (%),  
"Population aged 60+ years, female (%)",UN Population Division,Population,Female by age (%),  
"Population aged 60+ years, male (%)",UN Population Division,Population,Male by age (%),  
Population density (per square km),UN Population Division,Population,,  
Population growth (annual %),World Bank,Population,Population growth,  
"Population growth (annual %), with projections",UN Population Division,For advanced users,Projections,  
Population in urban agglomerations > 1 million (% of total population),World Bank,Population,Urbanization,  
Population policies aid given (% of aid),OECD QWIDS,Economy,Aid given,  
"Population, total",Various sources,Population,,  
Poverty (% people below $2 a day),The World Bank,Economy,Poverty & inequality,  
"Prematurity deaths in newborn (per 1,000 births)",Lancet,Health,Causes of newborn deaths,  
Prematurity deaths in newborn (total deaths),Lancet,Health,Causes of newborn deaths,  
Present value of debt (% of GNI),World Bank,For advanced users,Advanced debt & trade,  
"Primary completion rate, total (% of relevant age group)",World Bank,Education,School enrolment,  
Primary forest area (ha),FAO - Food and Agriculture Organization,Environment,Forestry,  
Primary school completion (% of boys),World Bank,Education,School enrolment,  
Primary school completion (% of girls),World Bank,Education,School enrolment,  
Private share of total health spending (%),WHO Global Health Expenditure Database,Health,Health Economics,  
Privately owned forest land (%),FAO - Food and Agriculture Organization,Environment,Forestry,  
Privately owned other wooded land (%),FAO - Food and Agriculture Organization,Environment,Forestry,  
Production sector aid given (% of aid),OECD QWIDS,Economy,Aid given,  
"Prostate cancer, deaths per 100,000 men",Based on IARC and WHO data,Health,"Cancer, male",  
"Prostate cancer, new cases per 100,000 men",Based on IARC data,Health,"Cancer, male",  
"Prostate cancer, number of male deaths",IARC,Health,"Cancer, male",  
"Prostate cancer, number of new male cases",IARC,Health,"Cancer, male",  
Pump price for gasoline (US$ per liter),World Development Indicators,Energy,,  
Ratio of girls to boys in primary and secondary education (%),World Bank,Education,Gender equality,  
Ratio of young literate females to males (% ages 15-24),World Bank,Education,Gender equality,  
Renewable water (cu meters per person),FAO aquastat database,Environment,Water,  
"Residential electricity use, per person",IEA (International Energy Agency),Energy,Electricity,  
"Residential electricity use, total",IEA (International Energy Agency),Energy,Electricity,  
Residential energy use (%),Not Found.,For advanced users,Alternative energy,  
"Roads, paved (% of total roads)",World Bank,Infrastructure,Traffic,  
Rural poverty (% rural people below national rural poverty line),The World Bank,Economy,Poverty & inequality,  
Salaried workers (% of labour force),International Labour Organization,Work,Employment by status,  
Self-employed (% of labour force),International Labour Organization,Work,Employment by status,  
"Sepsis deaths in newborn (per 1,000 births)",Lancet,Health,Causes of newborn deaths,  
Sepsis deaths in newborn (total deaths),Lancet,Health,Causes of newborn deaths,  
Service workers (% of labour force),International Labour Organization,Work,Employment by sector,  
Services (% of GDP),World Bank,Economy,Sectors,  
Sex ratio (0-14 years),UN Population Division,Population,Sex ratio,  
Sex ratio (15-24 years),UN Population Division,Population,Sex ratio,  
Sex ratio (15-49 years),UN Population Division,Population,Sex ratio,  
Sex ratio (above 50 years),UN Population Division,Population,Sex ratio,  
Sex ratio (all age groups),UN Population Division,Population,Sex ratio,  
Smoking adults (% of population over age 15),Based on WHOSIS data 2005,Health,Risk factors,  
Smoking men (% of men over age 15),Based on WHOSIS data 2005,Health,Risk factors,  
Smoking women (% of women over age 15),Based on WHOSIS data 2005,Health,Risk factors,  
"Stillbirths (per 1,000 births)",Stanton etal with additions,Health,Maternal health,  
"Stomach cancer, deaths per 100,000 men",Based on IARC and WHO data,Health,"Cancer, male",  
"Stomach cancer, deaths per 100,000 women",Based on IARC and WHO data,Health,"Cancer, female",  
"Stomach cancer, new cases per 100,000 men",Based on IARC data,Health,"Cancer, male",  
"Stomach cancer, new cases per 100,000 women",Based on IARC data,Health,"Cancer, female",  
"Stomach cancer, number of female deaths",IARC,Health,"Cancer, female",  
"Stomach cancer, number of male deaths",IARC,Health,"Cancer, male",  
"Stomach cancer, number of new female cases",IARC,Health,"Cancer, female",  
"Stomach cancer, number of new male cases",IARC,Health,"Cancer, male",  
Storm - affected annual number,EM-DAT: The OFDA/CRED International Disaster Database,Environment,Disasters,  
Storm - deaths annual number,EM-DAT: The OFDA/CRED International Disaster Database,Environment,Disasters,  
Subsistence incomes per person,Various sources,For advanced users,Alternative GDP data,  
Sugar per person (g per day),FAO modified,Health,Nutrition,  
"Suicide (per 100,000 people)",WHO modified,Health,Mental health,  
Suicide (total deaths),WHO Global Burden of Disease,Health,Mental health,  
"Suicide age 0-14 (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
"Suicide age 15-29 (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
"Suicide age 30-44 (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
"Suicide age 45-59 (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
"Suicide age 60+ (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
"Suicide men (per 100,000 people)",WHO modified,For advanced users,"Injury deaths by gender, age, road user",  
"Suicide women (per 100,000 people)",WHO modified,For advanced users,"Injury deaths by gender, age, road user",  
Sulfur emissions per person (kg),Stern modified,Environment,Emissions,  
Surface area (sq. km),World Bank,Environment,Geography,  
Surviving kids per woman,Gapminder,For advanced users,families,  
Tax revenue (% of GDP),World Bank,Economy,Economic situation,  
TB programme (DOTS) population coverage (%),World Health Organization,Health,TB (tuberculosis),  
"TB with HIV+, deaths per 100,000 - estimated",World Health Organization,Health,TB (tuberculosis),  
"TB with HIV+, existing cases per 100,000 - estimated",World Health Organization,Health,TB (tuberculosis),  
"TB with HIV+, new cases per 100,000 - estimated",World Health Organization,Health,TB (tuberculosis),  
"TB with HIV+, number of deaths - estimated",World Health Organization,Health,TB (tuberculosis),  
"TB with HIV+, number of existing cases - estimated",World Health Organization,Health,TB (tuberculosis),  
"TB with HIV+, number of new cases - estimated",World Health Organization,Health,TB (tuberculosis),  
"Teen fertility rate (births per 1,000 women ages 15-19)",Various sources,Population,Population growth,  
"Tetanus deaths in newborn (per 1,000 births)",Lancet,Health,Causes of newborn deaths,  
Tetanus deaths in newborn (total deaths),Lancet,Health,Causes of newborn deaths,  
"Total GDP (PPP$, inflation-adjusted)",Various sources,Economy,Incomes & growth,  
"Total GDP (US$, inflation-adjusted)",World Bank,Economy,Incomes & growth,  
"Total GNI (PPP, current international $)",World Bank,Economy,Incomes & growth,  
Total health spending (% of GDP),Global Health Expenditure Database modified,Health,Health Economics,  
Total health spending per person (international $),WHO Global Health Expenditure Database,Health,Health Economics,  
Total health spending per person (US$),WHO Global Health Expenditure Database,Health,Health Economics,  
Total number of dollar billionaires,Forbes,Economy,Poverty & inequality,  
"Total population, with projections",Various sources,For advanced users,Projections,  
Total reserves (% of debt to foreigners),World Bank,Economy,Debt & trade,  
Total sulfur emission (kilotonnes),Stern modified,Environment,Emissions,  
Total water withdrawal (billion cu meters),FAO aquastat database,Environment,Water,  
Trade balance (% of GDP)    World Bank,Economy,Debt & trade,  ,
"Trade balance (US$, not inflation-adjusted)",World Bank,Economy,Debt & trade,  
Traffic (total deaths),WHO with additions,Infrastructure,Traffic,  
"Traffic deaths (per 100,000 people)",WHO modified,Infrastructure,Traffic,  
"Traffic deaths men (per 100,000 people)",WHO modified,For advanced users,"Injury deaths by gender, age, road user",  
"Traffic deaths women (per 100,000 people)",WHO modified,For advanced users,"Injury deaths by gender, age, road user",  
"Traffic mortality 15-29 (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
"Traffic mortality 30-44 (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
"Traffic mortality 45-59 (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
"Traffic mortality 60+ (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
"Traffic mortality children 0-14 (per 100,000 people)",WHO,For advanced users,"Injury deaths by gender, age, road user",  
Tsunami - affected annual number,EM-DAT: The OFDA/CRED International Disaster Database,Environment,Disasters,  
Tsunami - deaths annual number,EM-DAT: The OFDA/CRED International Disaster Database,Environment,Disasters,  
"Under-five mortality from CME (per 1,000 born)",CME (Child Mortality Estimates Info),For advanced users,Alternative child mortality data,  
"Under-five mortality from IHME (per 1,000 born)",Institute for Health Metrics and Evaluation,For advanced users,Alternative child mortality data,  
Underweight children,World Bank,Health,,  
Urban population,World Bank,Population,Urbanization,  
Urban population (% of total),World Bank,Population,Urbanization,  
Urban population growth (annual %),World Bank,Population,Urbanization,  
Urban poverty (% urban people below national urban poverty line),The World Bank,Economy,Poverty & inequality,  
Water and sanitation aid given (% of aid),OECD QWIDS,Economy,Aid given,  
Water withdrawal (cu meters per person),FAO aquastat database,Environment,Water,  
Wood removal (cubic meters),FAO - Food and Agriculture Organization,Environment,Forestry,  
Working hours per week,International Labour Organization,Economy,Economic situation,  
Year categorization 1820-2010,Various sources,For advanced users,Years (use as color),  
Year categorization 1950-,Various sources,For advanced users,Years (use as color),  
Yearly CO2 emissions (1000 tonnes),CDIAC (Carbon Dioxide Information Analysis Center),Environment,Emissions,  
